shift_id,employee_id,shift_type,week_number
1,1,morning,1
2,2,morning,1
3,3,morning,1
4,4,morning,1
5,5,morning,1
6,6,morning,1
7,7,night,1
8,8,night,1
9,9,morning,1
10,10,morning,1
11,11,night,1
12,12,morning,1
13,13,evening,1
14,14,morning,1
15,15,night,1
16,16,night,1
17,17,morning,1
18,18,morning,1
19,19,morning,1
20,20,night,1
21,21,evening,1
22,22,night,1
23,23,night,1
24,24,morning,1
25,25,night,1
26,26,evening,1
27,27,night,1
28,28,evening,1
29,29,morning,1
30,30,morning,1
31,31,night,1
32,32,night,1
33,33,evening,1
34,34,evening,1
35,35,evening,1
36,36,evening,1
37,37,evening,1
38,38,morning,1
39,39,morning,1
40,40,evening,1
41,41,morning,1
42,42,night,1
43,43,night,1
44,44,morning,1
45,45,night,1
46,46,morning,1
47,47,morning,1
48,48,morning,1
49,49,morning,1
50,50,morning,1
51,51,morning,1
52,52,night,1
53,53,morning,1
54,54,morning,1
55,55,evening,1
56,56,night,1
57,57,morning,1
58,58,morning,1
59,59,evening,1
60,60,night,1
61,61,evening,1
62,62,morning,1
63,63,evening,1
64,64,morning,1
65,65,morning,1
66,66,morning,1
67,67,evening,1
68,68,evening,1
69,69,night,1
70,70,morning,1
71,71,night,1
72,72,night,1
73,73,evening,1
74,74,night,1
75,75,evening,1
76,76,morning,1
77,77,night,1
78,78,morning,1
79,79,night,1
80,80,night,1
81,81,evening,1
82,82,night,1
83,83,evening,1
84,84,morning,1
85,85,morning,1
86,86,night,1
87,87,morning,1
88,88,evening,1
89,89,night,1
90,90,night,1
91,91,evening,1
92,92,evening,1
93,93,night,1
94,94,night,1
95,95,night,1
96,96,morning,1
97,97,evening,1
98,98,evening,1
99,99,evening,1
100,100,morning,1
101,101,morning,1
102,102,morning,1
103,103,evening,1
104,104,morning,1
105,105,night,1
106,106,night,1
107,107,morning,1
108,108,night,1
109,109,evening,1
110,110,night,1
111,111,night,1
112,112,evening,1
113,113,night,1
114,114,night,1
115,115,evening,1
116,116,night,1
117,117,night,1
118,118,morning,1
119,119,night,1
120,120,evening,1
121,121,night,1
122,122,evening,1
123,123,evening,1
124,124,evening,1
125,125,night,1
126,126,morning,1
127,127,night,1
128,128,morning,1
129,129,evening,1
130,130,night,1
131,131,morning,1
132,132,morning,1
133,133,night,1
134,134,evening,1
135,135,evening,1
136,136,evening,1
137,137,evening,1
138,138,morning,1
139,139,morning,1
140,140,morning,1
141,141,morning,1
142,142,morning,1
143,143,night,1
144,144,morning,1
145,145,night,1
146,146,night,1
147,147,evening,1
148,148,morning,1
149,149,morning,1
150,150,morning,1
151,151,morning,1
152,152,night,1
153,153,night,1
154,154,night,1
155,155,night,1
156,156,evening,1
157,157,morning,1
158,158,evening,1
159,159,morning,1
160,160,morning,1
161,161,night,1
162,162,night,1
163,163,morning,1
164,164,morning,1
165,165,morning,1
166,166,night,1
167,167,night,1
168,168,evening,1
169,169,morning,1
170,170,evening,1
171,171,night,1
172,172,night,1
173,173,night,1
174,174,morning,1
175,175,night,1
176,176,evening,1
177,177,night,1
178,178,morning,1
179,179,morning,1
180,180,evening,1
181,181,evening,1
182,182,morning,1
183,183,morning,1
184,184,morning,1
185,185,evening,1
186,186,night,1
187,187,night,1
188,188,morning,1
189,189,evening,1
190,190,night,1
191,191,evening,1
192,192,night,1
193,193,night,1
194,194,evening,1
195,195,evening,1
196,196,night,1
197,197,night,1
198,198,night,1
199,199,morning,1
200,200,morning,1
201,201,morning,1
202,202,evening,1
203,203,evening,1
204,204,morning,1
205,205,evening,1
206,206,evening,1
207,207,evening,1
208,208,morning,1
209,209,evening,1
210,210,morning,1
211,211,night,1
212,212,morning,1
213,213,morning,1
214,214,night,1
215,215,night,1
216,216,evening,1
217,217,night,1
218,218,evening,1
219,219,morning,1
220,220,evening,1
221,221,evening,1
222,222,night,1
223,223,night,1
224,224,evening,1
225,225,night,1
226,226,morning,1
227,227,morning,1
228,228,morning,1
229,229,night,1
230,230,evening,1
231,231,morning,1
232,232,night,1
233,233,night,1
234,234,morning,1
235,235,evening,1
236,236,evening,1
237,237,morning,1
238,238,evening,1
239,239,night,1
240,240,morning,1
241,241,morning,1
242,242,morning,1
243,243,morning,1
244,244,morning,1
245,245,morning,1
246,246,morning,1
247,247,morning,1
248,248,night,1
249,249,evening,1
250,250,evening,1
251,251,night,1
252,252,night,1
253,253,evening,1
254,254,night,1
255,255,evening,1
256,256,night,1
257,257,evening,1
258,258,evening,1
259,259,night,1
260,260,morning,1
261,261,night,1
262,262,evening,1
263,263,morning,1
264,264,night,1
265,265,night,1
266,266,night,1
267,267,morning,1
268,268,evening,1
269,269,evening,1
270,270,evening,1
271,271,morning,1
272,272,evening,1
273,273,morning,1
274,274,morning,1
275,275,morning,1
276,276,evening,1
277,277,morning,1
278,278,evening,1
279,279,morning,1
280,280,night,1
281,281,night,1
282,282,morning,1
283,283,night,1
284,284,night,1
285,285,evening,1
286,286,morning,1
287,287,morning,1
288,288,morning,1
289,289,evening,1
290,290,evening,1
291,291,evening,1
292,292,night,1
293,293,morning,1
294,294,night,1
295,295,night,1
296,296,morning,1
297,297,night,1
298,298,morning,1
299,299,evening,1
300,300,morning,1
301,301,night,1
302,302,evening,1
303,303,night,1
304,304,night,1
305,305,night,1
306,306,night,1
307,307,evening,1
308,308,morning,1
309,309,evening,1
310,310,evening,1
311,311,evening,1
312,312,morning,1
313,313,evening,1
314,314,night,1
315,315,night,1
316,316,evening,1
317,317,evening,1
318,318,night,1
319,319,morning,1
320,320,night,1
321,321,night,1
322,322,morning,1
323,323,morning,1
324,324,morning,1
325,325,morning,1
326,326,night,1
327,327,evening,1
328,328,morning,1
329,329,evening,1
330,330,evening,1
331,331,morning,1
332,332,night,1
333,333,night,1
334,334,evening,1
335,335,night,1
336,336,night,1
337,337,night,1
338,338,night,1
339,339,night,1
340,340,night,1
341,341,night,1
342,342,evening,1
343,343,evening,1
344,344,evening,1
345,345,evening,1
346,346,night,1
347,347,evening,1
348,348,morning,1
349,349,evening,1
