employee_id,week,shift_type
1,1,morning
1,2,evening
1,3,night
1,4,morning
2,1,morning
2,2,morning
2,3,morning
2,4,night
3,1,morning
3,2,evening
3,3,morning
3,4,morning
4,1,night
4,2,evening
4,3,morning
4,4,morning
5,1,night
5,2,morning
5,3,evening
5,4,night
6,1,morning
6,2,night
6,3,evening
6,4,morning
7,1,evening
7,2,evening
7,3,night
7,4,morning
8,1,evening
8,2,morning
8,3,night
8,4,morning
9,1,evening
9,2,night
9,3,morning
9,4,night
10,1,evening
10,2,night
10,3,morning
10,4,evening
11,1,morning
11,2,morning
11,3,evening
11,4,night
12,1,evening
12,2,evening
12,3,morning
12,4,night
13,1,night
13,2,night
13,3,evening
13,4,night
14,1,night
14,2,night
14,3,morning
14,4,evening
15,1,morning
15,2,morning
15,3,night
15,4,morning
16,1,night
16,2,evening
16,3,morning
16,4,night
17,1,night
17,2,night
17,3,night
17,4,morning
18,1,night
18,2,night
18,3,morning
18,4,night
19,1,evening
19,2,morning
19,3,morning
19,4,night
20,1,night
20,2,morning
20,3,night
20,4,morning
21,1,evening
21,2,morning
21,3,night
21,4,night
22,1,morning
22,2,evening
22,3,evening
22,4,morning
23,1,morning
23,2,night
23,3,night
23,4,evening
24,1,morning
24,2,night
24,3,morning
24,4,night
25,1,morning
25,2,evening
25,3,morning
25,4,night
26,1,night
26,2,evening
26,3,morning
26,4,night
27,1,night
27,2,morning
27,3,night
27,4,night
28,1,night
28,2,evening
28,3,morning
28,4,evening
29,1,morning
29,2,evening
29,3,morning
29,4,morning
30,1,night
30,2,evening
30,3,evening
30,4,night
31,1,night
31,2,morning
31,3,night
31,4,evening
32,1,night
32,2,evening
32,3,morning
32,4,evening
33,1,evening
33,2,night
33,3,night
33,4,evening
34,1,night
34,2,evening
34,3,evening
34,4,morning
35,1,morning
35,2,morning
35,3,night
35,4,evening
36,1,morning
36,2,morning
36,3,night
36,4,morning
37,1,morning
37,2,morning
37,3,morning
37,4,night
38,1,evening
38,2,night
38,3,evening
38,4,evening
39,1,night
39,2,evening
39,3,morning
39,4,morning
40,1,morning
40,2,evening
40,3,morning
40,4,night
41,1,night
41,2,evening
41,3,morning
41,4,evening
42,1,evening
42,2,evening
42,3,evening
42,4,night
43,1,morning
43,2,evening
43,3,night
43,4,night
44,1,evening
44,2,night
44,3,night
44,4,night
45,1,morning
45,2,night
45,3,evening
45,4,evening
46,1,morning
46,2,night
46,3,evening
46,4,evening
47,1,evening
47,2,evening
47,3,night
47,4,evening
48,1,night
48,2,evening
48,3,evening
48,4,morning
49,1,morning
49,2,morning
49,3,evening
49,4,evening
50,1,morning
50,2,evening
50,3,evening
50,4,morning
51,1,morning
51,2,morning
51,3,night
51,4,evening
52,1,morning
52,2,evening
52,3,morning
52,4,evening
53,1,morning
53,2,night
53,3,night
53,4,evening
54,1,evening
54,2,evening
54,3,evening
54,4,night
55,1,evening
55,2,evening
55,3,night
55,4,evening
56,1,morning
56,2,morning
56,3,evening
56,4,night
57,1,morning
57,2,evening
57,3,evening
57,4,evening
58,1,evening
58,2,night
58,3,morning
58,4,evening
59,1,morning
59,2,night
59,3,morning
59,4,night
60,1,night
60,2,night
60,3,night
60,4,evening
61,1,night
61,2,night
61,3,morning
61,4,evening
62,1,morning
62,2,morning
62,3,night
62,4,evening
63,1,morning
63,2,evening
63,3,night
63,4,morning
64,1,night
64,2,evening
64,3,night
64,4,morning
65,1,evening
65,2,evening
65,3,evening
65,4,evening
66,1,morning
66,2,night
66,3,evening
66,4,night
67,1,evening
67,2,night
67,3,night
67,4,evening
68,1,morning
68,2,evening
68,3,evening
68,4,morning
69,1,evening
69,2,night
69,3,evening
69,4,morning
70,1,night
70,2,night
70,3,night
70,4,evening
71,1,night
71,2,night
71,3,morning
71,4,evening
72,1,evening
72,2,morning
72,3,night
72,4,morning
73,1,morning
73,2,night
73,3,evening
73,4,night
74,1,evening
74,2,morning
74,3,morning
74,4,morning
75,1,morning
75,2,evening
75,3,evening
75,4,night
76,1,night
76,2,evening
76,3,night
76,4,night
77,1,night
77,2,evening
77,3,night
77,4,morning
78,1,morning
78,2,evening
78,3,night
78,4,evening
79,1,morning
79,2,morning
79,3,evening
79,4,night
80,1,morning
80,2,night
80,3,evening
80,4,evening
81,1,morning
81,2,morning
81,3,night
81,4,night
82,1,night
82,2,night
82,3,morning
82,4,night
83,1,night
83,2,morning
83,3,morning
83,4,evening
84,1,night
84,2,evening
84,3,evening
84,4,evening
85,1,evening
85,2,evening
85,3,morning
85,4,night
86,1,night
86,2,evening
86,3,night
86,4,night
87,1,morning
87,2,night
87,3,morning
87,4,morning
88,1,night
88,2,evening
88,3,morning
88,4,morning
89,1,night
89,2,morning
89,3,evening
89,4,night
90,1,night
90,2,evening
90,3,evening
90,4,evening
91,1,morning
91,2,evening
91,3,evening
91,4,evening
92,1,evening
92,2,evening
92,3,night
92,4,evening
93,1,night
93,2,evening
93,3,evening
93,4,night
94,1,morning
94,2,night
94,3,evening
94,4,night
95,1,morning
95,2,night
95,3,night
95,4,evening
96,1,night
96,2,night
96,3,night
96,4,evening
97,1,night
97,2,morning
97,3,night
97,4,evening
98,1,night
98,2,night
98,3,evening
98,4,evening
99,1,evening
99,2,night
99,3,evening
99,4,morning
100,1,evening
100,2,morning
100,3,morning
100,4,night
101,1,morning
101,2,night
101,3,evening
101,4,morning
102,1,morning
102,2,evening
102,3,night
102,4,night
103,1,evening
103,2,evening
103,3,evening
103,4,night
104,1,morning
104,2,evening
104,3,evening
104,4,morning
105,1,evening
105,2,evening
105,3,night
105,4,morning
106,1,night
106,2,morning
106,3,morning
106,4,evening
107,1,night
107,2,morning
107,3,morning
107,4,morning
108,1,night
108,2,night
108,3,evening
108,4,morning
109,1,morning
109,2,evening
109,3,evening
109,4,morning
110,1,morning
110,2,morning
110,3,night
110,4,evening
111,1,morning
111,2,night
111,3,morning
111,4,night
112,1,night
112,2,night
112,3,night
112,4,night
113,1,morning
113,2,morning
113,3,night
113,4,morning
114,1,evening
114,2,morning
114,3,morning
114,4,morning
115,1,morning
115,2,evening
115,3,night
115,4,morning
116,1,morning
116,2,morning
116,3,morning
116,4,morning
117,1,evening
117,2,evening
117,3,morning
117,4,evening
118,1,evening
118,2,night
118,3,night
118,4,evening
119,1,night
119,2,evening
119,3,night
119,4,morning
120,1,morning
120,2,night
120,3,evening
120,4,morning
121,1,night
121,2,night
121,3,night
121,4,night
122,1,night
122,2,morning
122,3,night
122,4,morning
123,1,morning
123,2,night
123,3,morning
123,4,morning
124,1,morning
124,2,morning
124,3,morning
124,4,morning
125,1,morning
125,2,morning
125,3,night
125,4,night
126,1,morning
126,2,night
126,3,night
126,4,morning
127,1,night
127,2,evening
127,3,night
127,4,evening
128,1,morning
128,2,night
128,3,evening
128,4,night
129,1,evening
129,2,evening
129,3,evening
129,4,night
130,1,morning
130,2,night
130,3,night
130,4,evening
131,1,evening
131,2,evening
131,3,morning
131,4,morning
132,1,night
132,2,night
132,3,morning
132,4,night
133,1,morning
133,2,night
133,3,night
133,4,night
134,1,evening
134,2,morning
134,3,morning
134,4,morning
135,1,morning
135,2,night
135,3,morning
135,4,morning
136,1,morning
136,2,night
136,3,evening
136,4,night
137,1,evening
137,2,morning
137,3,morning
137,4,morning
138,1,night
138,2,night
138,3,evening
138,4,night
139,1,morning
139,2,evening
139,3,morning
139,4,evening
140,1,night
140,2,night
140,3,night
140,4,evening
141,1,night
141,2,evening
141,3,evening
141,4,evening
142,1,morning
142,2,evening
142,3,evening
142,4,evening
143,1,night
143,2,evening
143,3,morning
143,4,evening
144,1,morning
144,2,night
144,3,evening
144,4,morning
145,1,evening
145,2,night
145,3,morning
145,4,evening
146,1,morning
146,2,morning
146,3,morning
146,4,morning
147,1,evening
147,2,morning
147,3,morning
147,4,morning
148,1,night
148,2,evening
148,3,morning
148,4,night
149,1,morning
149,2,morning
149,3,night
149,4,morning
150,1,evening
150,2,night
150,3,evening
150,4,evening
151,1,morning
151,2,morning
151,3,morning
151,4,night
152,1,evening
152,2,morning
152,3,morning
152,4,evening
153,1,morning
153,2,morning
153,3,evening
153,4,night
154,1,evening
154,2,evening
154,3,morning
154,4,night
155,1,morning
155,2,evening
155,3,morning
155,4,night
156,1,night
156,2,night
156,3,night
156,4,night
157,1,evening
157,2,morning
157,3,night
157,4,morning
158,1,evening
158,2,morning
158,3,evening
158,4,morning
159,1,morning
159,2,morning
159,3,night
159,4,night
160,1,morning
160,2,morning
160,3,evening
160,4,night
161,1,night
161,2,night
161,3,evening
161,4,evening
162,1,evening
162,2,night
162,3,morning
162,4,evening
163,1,night
163,2,night
163,3,evening
163,4,night
164,1,night
164,2,evening
164,3,night
164,4,night
165,1,evening
165,2,evening
165,3,night
165,4,morning
166,1,morning
166,2,morning
166,3,night
166,4,evening
167,1,night
167,2,night
167,3,morning
167,4,night
168,1,night
168,2,morning
168,3,night
168,4,morning
169,1,night
169,2,evening
169,3,evening
169,4,night
170,1,morning
170,2,morning
170,3,evening
170,4,evening
171,1,evening
171,2,morning
171,3,night
171,4,evening
172,1,evening
172,2,night
172,3,night
172,4,night
173,1,night
173,2,evening
173,3,evening
173,4,evening
174,1,night
174,2,evening
174,3,evening
174,4,evening
175,1,morning
175,2,night
175,3,evening
175,4,evening
176,1,night
176,2,night
176,3,morning
176,4,evening
177,1,morning
177,2,evening
177,3,night
177,4,night
178,1,morning
178,2,evening
178,3,evening
178,4,night
179,1,evening
179,2,morning
179,3,evening
179,4,night
180,1,evening
180,2,night
180,3,evening
180,4,morning
181,1,evening
181,2,morning
181,3,evening
181,4,night
182,1,morning
182,2,night
182,3,night
182,4,morning
183,1,evening
183,2,evening
183,3,night
183,4,evening
184,1,evening
184,2,morning
184,3,evening
184,4,morning
185,1,evening
185,2,morning
185,3,morning
185,4,night
186,1,evening
186,2,night
186,3,night
186,4,night
187,1,morning
187,2,morning
187,3,morning
187,4,morning
188,1,morning
188,2,night
188,3,morning
188,4,evening
189,1,evening
189,2,night
189,3,morning
189,4,morning
190,1,night
190,2,evening
190,3,morning
190,4,morning
191,1,evening
191,2,night
191,3,morning
191,4,night
192,1,morning
192,2,morning
192,3,evening
192,4,evening
193,1,night
193,2,evening
193,3,evening
193,4,morning
194,1,morning
194,2,night
194,3,morning
194,4,night
195,1,night
195,2,morning
195,3,evening
195,4,morning
196,1,evening
196,2,night
196,3,evening
196,4,evening
197,1,night
197,2,morning
197,3,night
197,4,evening
198,1,morning
198,2,night
198,3,evening
198,4,evening
199,1,evening
199,2,night
199,3,night
199,4,evening
200,1,night
200,2,morning
200,3,evening
200,4,evening
201,1,morning
201,2,night
201,3,evening
201,4,night
202,1,night
202,2,evening
202,3,evening
202,4,night
203,1,evening
203,2,evening
203,3,night
203,4,night
204,1,evening
204,2,evening
204,3,night
204,4,evening
205,1,morning
205,2,morning
205,3,night
205,4,morning
206,1,morning
206,2,morning
206,3,morning
206,4,evening
207,1,night
207,2,morning
207,3,evening
207,4,evening
208,1,morning
208,2,morning
208,3,morning
208,4,morning
209,1,night
209,2,night
209,3,morning
209,4,morning
210,1,night
210,2,morning
210,3,evening
210,4,morning
211,1,morning
211,2,morning
211,3,night
211,4,evening
212,1,evening
212,2,morning
212,3,night
212,4,morning
213,1,night
